pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-48.0,91.5,-90.0,bottom,R92,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-40.0,80.0,-90.0,bottom,R93,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-34.0,80.0,-90.0,bottom,R94,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-28.0,71.0,-90.0,bottom,R95,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-22.0,71.0,-90.0,bottom,R96,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-12.0,65.0,-90.0,bottom,R97,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-6.0,65.0,-90.0,bottom,R98,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-16.5,-14.75,180.0,top,SW1,,,SW-TH_MT-0-103-A101-M200-RS,MT-0-102-A101-M200-RS+PJ,tht
-12.25,-91.25,90.0,top,SW2,,,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,TS4535TP 250GF 009,smt
12.5,-91.25,-90.0,top,SW3,,,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,TS4535TP 250GF 009,smt
